Conference,School
Southland,A&M-Corpus Chris
Southland,Abilene Christian
Mountain West,Air Force
SEC,Alabama
Southwestern,Alabama A&M
Southwestern,Alabama St.
American East,Albany (NY)
Southwestern,Alcorn
Sun Belt,Appalachian St.
Pac 12,Arizona
Pac 12,Arizona St.
Southwestern,Ark. Pine Bluff
SEC,Arkansas
Sun Belt,Arkansas St.
Patriot,Army
SEC,Auburn
OVC,Austin Peay
Mid American,Ball St.
Big 12,Baylor
OVC,Belmont
Mid-Eastern,Bethune-Cookman
American East,Binghamton
ACC,Boston College
Mid American,Bowling Green
Missouri Valley,Bradley
Ivy League,Brown
Northeast,Bryant
Patriot,Bucknell
Big East,Butler
West Coast,BYU
Big West,Cal Poly
Big West,Cal St. Fullerton
Pac 12,California
Big South,Campbell
Metro Atlantic,Canisius
Southland,Central Ark.
Northeast,Central Conn. St.
Mid American,Central Mich.
Big South,Charleston So.
Conference USA,Charlotte
Western Athletic,Chicago St.
AAC,Cincinnati
ACC,Clemson
Sun Belt,Coastal Carolina
Colonial,Col. of Charleston
Ivy League,Columbia
Mid-Eastern,Coppin St.
Ivy League,Cornell
Big East,Creighton
Western Athletic,CSU Bakersfield
Big West,CSUN
Missouri Valley,Dallas Baptist
Ivy League,Dartmouth
Atlantic 10,Davidson
Atlantic 10,Dayton
Colonial,Delaware
Mid-Eastern,Delaware St.
ACC,Duke
AAC,East Carolina
OVC,Eastern Ill.
OVC,Eastern Ky.
Mid American,Eastern Mich.
Colonial,Elon
Southern,ETSU
Missouri Valley,Evansville
Metro Atlantic,Fairfield
Northeast,Fairleigh Dickinson
ASUN,FGCU
Conference USA,FIU
Conference USA,Fla. Atlantic
SEC,Florida
Mid-Eastern,Florida A&M
ACC,Florida St
Atlantic 10,Fordham
Summit League,Fort Wayne
Mountain West,Fresno St.
Southern,Furman
Big South,Gardner-Webb
Atlantic 10,George Mason
Atlantic 10,George Washington
Big East,Georgetown
SEC,Georgia
Sun Belt,Georgia Southern
Sun Belt,Georgia St.
ACC,Georgia Tech
West Coast,Gonzaga
Southwestern,Grambling
Western Athletic,Grand Canyon
American East,Hartford
Ivy League,Harvard
Big West,Hawaii
Big South,High Point
Colonial,Hofstra
Patriot,Holy Cross
AAC,Houston
