Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Abate, Dan",Metro Atlantic,Monmouth,So,INF,,,81,0.224,0.309,0.299,0,0.075,2,3,35.8,7.41,-28.39,0.385,0.281,-4,6
"Abbott, Andrew",ACC,Virginia,Fr,P,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abbott, Jacob",OVC,Eastern Ky.,So,INF,,,101,0.202,0.277,0.247,0,0.045,2,3,26.73,6.93,-19.8,0.29,0.245,-8,5
"Abercrombie, Alec",Summit League,North Dakota St.,Jr,OF,,,390,0.202,0.297,0.283,2,0.081,13,16,27.69,12.31,-15.38,0.293,0.271,-21,27
"Aberouette, Felix",Sun Belt,South Ala.,Jr,C,,,35,0.08,0.257,0.12,0,0.04,0,0,37.14,17.14,-20,0.167,0.218,-3,1
"Abraham, Kevin",Conference USA,Fla. Atlantic,Sr,C,,,379,0.196,0.311,0.259,4,0.063,0,0,21.37,7.12,-14.25,0.246,0.269,-21,25
"Achecar, Freddy",Big East,Georgetown,So,1B,,,142,0.174,0.275,0.223,0,0.05,0,0,23.24,9.86,-13.38,0.233,0.235,-12,5
"Acker, Brady",Atlantic 10,George Mason,Sr,OF,,,609,0.288,0.369,0.436,15,0.148,14,17,24.3,9.2,-15.1,0.373,0.354,10,84
"Acker, Joe",Big 10,Nebraska,So,OF,,,78,0.185,0.308,0.2,0,0.015,0,0,19.23,14.1,-5.13,0.24,0.25,-6,4
"Ackerman, Aaron",Horizon,Ill.-Chicago,So,C,2018,794,186,0.295,0.36,0.464,5,0.169,0,1,17.74,9.68,-8.06,0.338,0.354,3,26
"Acklin, Christian",Southwestern,Alcorn,Sr,OF,,,76,0.143,0.316,0.161,0,0.018,2,3,27.63,19.74,-7.89,0.222,0.253,-5,4
"Acosta, Alec",Atlantic 10,Davidson,Sr,INF,,,956,0.286,0.346,0.383,11,0.098,6,8,11.19,7.32,-3.87,0.31,0.322,-10,106
"Acosta, Matthew",Pac 12,Southern Cal,So,OF,,,338,0.269,0.328,0.364,5,0.094,6,14,13.91,5.92,-7.99,0.304,0.306,-8,33
"Adames, Robin",Southland,Lamar,Jr,INF,,,710,0.314,0.392,0.467,18,0.153,5,9,15.77,7.32,-8.45,0.357,0.374,23,110
"Adams, Chris",Ivy League,Penn,So,INF,,,384,0.292,0.357,0.371,1,0.079,16,20,15.63,7.03,-8.6,0.35,0.324,-4,43
"Adams, Devon",Conference USA,Old Dominion,So,C,,,128,0.225,0.359,0.275,1,0.049,1,1,21.88,15.63,-6.25,0.301,0.304,-3,12
"Adams, Jacob",SEC,Ole Miss,Jr,INF,,,192,0.257,0.385,0.375,3,0.118,7,10,17.71,14.58,-3.13,0.308,0.345,2,25
"Adams, Kyle",Atlantic 10,Richmond,Sr,C,,,862,0.293,0.386,0.404,12,0.111,7,14,6.96,12.06,5.1,0.303,0.35,11,116
"Adams, Logan",Ivy League,Dartmouth,Fr,C,,,8,0.5,0.5,0.5,0,0,0,0,25,0,-25,0.667,0.439,1,2
"Adams, Phil",Southwestern,Grambling,So,OF,,,85,0.141,0.318,0.172,0,0.031,12,14,23.53,18.82,-4.71,0.205,0.258,-6,5
"Adams, Reed",Mid American,Central Mich.,So,INF,,,186,0.187,0.29,0.213,0,0.026,0,1,18.28,11.83,-6.45,0.24,0.246,-14,9
"Adcock, Ty",Colonial,Elon,So,C,,,225,0.239,0.324,0.381,5,0.142,10,13,30.22,8.44,-21.78,0.336,0.312,-4,23
"Addante, Mike",Big 10,Nebraska,Fr,OF,,,37,0.133,0.27,0.167,0,0.033,0,1,24.32,16.22,-8.1,0.19,0.223,-3,1
"Adduci, Anthony",OVC,UT Martin,So,C,,,167,0.204,0.275,0.218,0,0.014,0,1,13.17,6.59,-6.58,0.236,0.232,-15,6
"Aders, Evan",Missouri Valley,Evansville,Fr,OF,,,97,0.191,0.247,0.404,5,0.213,0,2,47.42,4.12,-43.3,0.308,0.278,-5,7
"Adkins, Kwan",Southland,Northwestern St.,Sr,OF,2018,886,497,0.258,0.33,0.334,4,0.076,10,18,26.16,7.04,-19.12,0.361,0.304,-13,48
"Adolph, Ross",Mid American,Toledo,Jr,OF,2018,350,705,0.289,0.39,0.499,22,0.21,24,32,19.01,11.35,-7.66,0.339,0.383,29,115
"Aeilts, Joe",Missouri Valley,Illinois St.,So,INF,,,393,0.249,0.298,0.352,4,0.103,5,7,22.39,5.85,-16.54,0.316,0.286,-16,32
"Agresti, Jason",American East,Binghamton,Sr,C,,,698,0.279,0.351,0.438,15,0.159,3,4,16.33,9.46,-6.87,0.313,0.342,4,89
"Aguiar, Alex",Big West,UC Davis,Sr,OF,,,578,0.244,0.341,0.339,5,0.095,29,41,19.03,7.61,-11.42,0.301,0.312,-11,59
"Aguilar, Rigo",Southland,Central Ark.,Sr,INF,,,511,0.283,0.364,0.388,7,0.105,4,8,20.55,11.15,-9.4,0.357,0.336,0,63
"Ahn, Aaron",Patriot,Navy,Fr,INF,,,36,0.276,0.389,0.414,0,0.138,0,1,22.22,11.11,-11.11,0.381,0.362,1,5
"Aiello, Johnny",ACC,Wake Forest,Jr,INF,,,770,0.266,0.361,0.481,35,0.215,15,17,29.87,9.09,-20.78,0.352,0.365,19,113
"Aklinski, Ben",SEC,Kentucky,Jr,OF,2018,947,255,0.304,0.388,0.444,6,0.14,6,10,16.47,11.76,-4.71,0.347,0.364,6,37
"Alamo, Brandon",American East,Stony Brook,Jr,INF,,,127,0.241,0.323,0.398,4,0.157,1,2,18.11,8.66,-9.45,0.265,0.317,-2,14
"Alas, Brendan",Horizon,Northern Ky.,So,INF,,,99,0.172,0.222,0.376,5,0.204,1,1,51.52,5.05,-46.47,0.297,0.256,-7,5
"Albert, Matt",OVC,Eastern Ill.,Sr,C,,,419,0.254,0.37,0.514,23,0.26,4,5,31.03,11.69,-19.34,0.332,0.379,16,67
"Albert, Reese",ACC,Florida St,Fr,OF,,,189,0.268,0.354,0.452,7,0.185,4,6,23.81,12.17,-11.64,0.321,0.35,2,25
"Albright, Tyler",OVC,UT Martin,Sr,INF,,,473,0.31,0.385,0.444,9,0.134,6,7,15.22,10.15,-5.07,0.349,0.36,10,68
"Alderman, Trey",Big South,Radford,So,P,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
