Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Abate, Dan",Metro Atlantic,Monmouth,So,INF,,,23,0.15,0.217,0.15,0,0,0,0,39.13,4.35,-34.78,0.25,0.176,-3,0
"Abbott, Jacob",OVC,Eastern Ky.,So,INF,,,30,0.138,0.167,0.138,0,0,0,0,36.67,3.33,-33.34,0.222,0.14,-5,-1
"Abercrombie, Alec",Summit League,North Dakota St.,Jr,OF,,,87,0.239,0.31,0.31,0,0.07,6,6,22.99,9.2,-13.79,0.315,0.282,-4,7
"Aberouette, Felix",Sun Belt,South Ala.,Jr,C,,,13,0.182,0.231,0.273,0,0.091,0,0,38.46,7.69,-30.77,0.333,0.234,-1,0
"Abraham, Kevin",Conference USA,Fla. Atlantic,Sr,C,,,117,0.186,0.308,0.278,2,0.093,0,0,17.95,9.4,-8.55,0.211,0.272,-6,8
"Achecar, Freddy",Big East,Georgetown,So,1B,,,24,0.105,0.292,0.158,0,0.053,0,0,12.5,16.67,4.17,0.125,0.234,-2,1
"Acker, Brady",Atlantic 10,George Mason,Sr,OF,,,119,0.358,0.42,0.538,4,0.179,3,5,18.49,7.56,-10.93,0.425,0.413,8,22
"Acker, Joe",Big 10,Nebraska,So,OF,,,47,0.189,0.34,0.189,0,0,0,0,8.51,17.02,8.51,0.212,0.269,-3,3
"Ackerman, Aaron",Horizon,Ill.-Chicago,So,C,2018,794,30,0.429,0.433,0.5,0,0.071,0,0,13.33,3.33,-10,0.48,0.399,2,5
"Acklin, Christian",Southwestern,Alcorn,Sr,OF,,,29,0.048,0.241,0.048,0,0,0,0,24.14,20.69,-3.45,0.071,0.186,-4,0
"Acosta, Alec",Atlantic 10,Davidson,Sr,INF,,,219,0.307,0.347,0.37,1,0.063,2,2,10.05,5.94,-4.11,0.331,0.317,-3,23
"Acosta, Matthew",Pac 12,Southern Cal,So,OF,,,102,0.289,0.363,0.344,0,0.056,1,4,16.67,5.88,-10.79,0.356,0.321,-1,11
"Adames, Robin",Southland,Lamar,Jr,INF,,,154,0.321,0.383,0.496,5,0.175,1,1,10.39,6.49,-3.9,0.333,0.38,6,25
"Adams, Chris",Ivy League,Penn,So,INF,,,73,0.224,0.288,0.328,1,0.104,2,3,16.44,6.85,-9.59,0.259,0.273,-4,5
"Adams, Devon",Conference USA,Old Dominion,So,C,,,36,0.143,0.306,0.179,0,0.036,0,0,25,16.67,-8.33,0.211,0.25,-3,2
"Adams, Jacob",SEC,Ole Miss,Jr,INF,,,49,0.256,0.388,0.256,0,0,3,4,24.49,14.29,-10.2,0.37,0.314,-1,5
"Adams, Kyle",Atlantic 10,Richmond,Sr,C,,,198,0.256,0.364,0.335,2,0.079,1,3,11.11,10.61,-0.5,0.282,0.32,-3,22
"Adams, Logan",Ivy League,Dartmouth,Fr,C,,,1,1,1,1,0,0,0,0,0,0,0,1,0.878,0,1
"Adams, Phil",Southwestern,Grambling,So,OF,,,18,0,0.222,0,0,0,2,2,27.78,22.22,-5.56,0,0.154,-3,-1
"Adams, Reed",Mid American,Central Mich.,So,INF,,,45,0.028,0.178,0.028,0,0,0,0,26.67,15.56,-11.11,0.042,0.133,-8,-2
"Adcock, Ty",Colonial,Elon,So,C,,,67,0.246,0.313,0.311,0,0.066,2,2,23.88,8.96,-14.92,0.333,0.28,-3,5
"Addante, Mike",Big 10,Nebraska,Fr,OF,,,3,0,0,0,0,0,0,0,100,0,-100,NA,0,-1,0
"Adduci, Anthony",OVC,UT Martin,So,C,,,44,0.139,0.295,0.139,0,0,0,0,13.64,18.18,4.54,0.167,0.225,-4,1
"Aders, Evan",Missouri Valley,Evansville,Fr,OF,,,38,0.216,0.211,0.649,5,0.432,0,2,52.63,0,-52.63,0.231,0.344,0,5
"Adkins, Kwan",Southland,Northwestern St.,Sr,OF,2018,886,106,0.333,0.377,0.448,1,0.115,1,3,19.81,5.66,-14.15,0.424,0.372,3,16
"Adolph, Ross",Mid American,Toledo,Jr,OF,2018,350,218,0.235,0.33,0.38,5,0.144,7,8,19.72,9.17,-10.55,0.277,0.314,-4,23
"Aeilts, Joe",Missouri Valley,Illinois St.,So,INF,,,105,0.22,0.286,0.308,0,0.088,2,2,20,6.67,-13.33,0.282,0.269,-6,7
"Agresti, Jason",American East,Binghamton,Sr,C,,,152,0.307,0.362,0.482,3,0.175,2,2,13.16,8.55,-4.61,0.336,0.36,3,22
"Aguiar, Alex",Big West,UC Davis,Sr,OF,,,129,0.238,0.341,0.286,0,0.048,7,7,14.73,7.75,-6.98,0.287,0.297,-4,12
"Aguilar, Rigo",Southland,Central Ark.,Sr,INF,,,126,0.267,0.397,0.386,2,0.119,1,1,18.25,16.67,-1.58,0.325,0.353,2,17
"Ahn, Aaron",Patriot,Navy,Fr,INF,,,14,0.077,0.143,0.077,0,0,0,0,35.71,7.14,-28.57,0.125,0.112,-3,-1
"Aiello, Johnny",ACC,Wake Forest,Jr,INF,,,250,0.294,0.356,0.543,15,0.249,4,4,32.8,5.6,-27.2,0.4,0.385,11,41
"Aklinski, Ben",SEC,Kentucky,Jr,OF,2018,947,80,0.3,0.388,0.414,2,0.114,2,4,10,11.25,1.25,0.317,0.355,1,11
"Alamo, Brandon",American East,Stony Brook,Jr,INF,,,27,0.15,0.37,0.15,0,0,1,2,29.63,18.52,-11.11,0.25,0.279,-1,2
"Alas, Brendan",Horizon,Northern Ky.,So,INF,,,22,0.095,0.136,0.238,1,0.143,1,1,63.64,4.55,-59.09,0.167,0.163,-3,-1
"Albert, Matt",OVC,Eastern Ill.,Sr,C,,,111,0.272,0.387,0.533,7,0.261,1,1,38.74,12.61,-26.13,0.419,0.392,5,19
"Albert, Reese",ACC,Florida St,Fr,OF,,,61,0.3,0.393,0.44,1,0.14,2,3,27.87,13.11,-14.76,0.424,0.367,2,9
"Albright, Tyler",OVC,UT Martin,Sr,INF,,,106,0.281,0.368,0.416,2,0.135,0,0,11.32,13.21,1.89,0.299,0.344,1,14
"Alders, Alex",Horizon,Wright St.,So,OF,,,78,0.25,0.308,0.368,0,0.118,4,4,29.49,5.13,-24.36,0.362,0.295,-3,7
"Aldrete, Carter",Pac 12,Arizona St.,So,INF,,,128,0.321,0.375,0.446,1,0.125,0,1,21.88,9.38,-12.5,0.412,0.357,2,18
"Aldridge, Chase",Ivy League,Harvard,Jr,INF,,,2,0,0,0,0,0,0,0,50,0,-50,0,0,-1,0
"Alejo, Ray",AAC,UCF,So,OF,,,76,0.352,0.395,0.493,0,0.141,15,16,22.37,6.58,-15.79,0.463,0.382,3,12
