Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Abate, Dan",Metro Atlantic,Monmouth,So,INF,,,58,0.255,0.345,0.362,0,0.106,2,3,34.48,8.62,-25.86,0.444,0.325,0,7
"Abbott, Andrew",ACC,Virginia,Fr,P,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abbott, Jacob",OVC,Eastern Ky.,So,INF,,,71,0.233,0.324,0.3,0,0.067,2,3,22.54,8.45,-14.09,0.318,0.29,-3,6
"Abercrombie, Alec",Summit League,North Dakota St.,Jr,OF,,,303,0.191,0.294,0.275,2,0.084,7,10,29.04,13.2,-15.84,0.286,0.268,-17,20
"Aberouette, Felix",Sun Belt,South Ala.,Jr,C,,,22,0,0.273,0,0,0,0,0,36.36,22.73,-13.63,0,0.209,-2,0
"Abraham, Kevin",Conference USA,Fla. Atlantic,Sr,C,,,262,0.201,0.313,0.251,2,0.05,0,0,22.9,6.11,-16.79,0.263,0.268,-15,17
"Achecar, Freddy",Big East,Georgetown,So,1B,,,117,0.188,0.274,0.238,0,0.05,0,0,25.64,8.55,-17.09,0.26,0.238,-10,5
"Acker, Brady",Atlantic 10,George Mason,Sr,OF,,,469,0.272,0.36,0.416,11,0.145,11,12,26.44,9.81,-16.63,0.364,0.343,3,60
"Acker, Joe",Big 10,Nebraska,So,OF,,,31,0.179,0.258,0.214,0,0.036,0,0,35.48,9.68,-25.8,0.294,0.22,-3,1
"Ackerman, Aaron",Horizon,Ill.-Chicago,So,C,2018,794,156,0.268,0.346,0.457,5,0.188,0,1,18.59,10.9,-7.69,0.305,0.346,1,20
"Acklin, Christian",Southwestern,Alcorn,Sr,OF,,,47,0.2,0.362,0.229,0,0.029,2,3,29.79,19.15,-10.64,0.318,0.292,-2,4
"Acosta, Alec",Atlantic 10,Davidson,Sr,INF,,,703,0.278,0.35,0.387,10,0.109,4,6,11.52,8.11,-3.41,0.302,0.326,-5,80
"Acosta, Matthew",Pac 12,Southern Cal,So,OF,,,237,0.26,0.312,0.37,5,0.11,5,10,12.66,5.91,-6.75,0.281,0.299,-7,22
"Adames, Robin",Southland,Lamar,Jr,INF,,,546,0.31,0.388,0.456,13,0.146,4,8,17.22,7.51,-9.71,0.36,0.368,15,82
"Adams, Chris",Ivy League,Penn,So,INF,,,311,0.309,0.373,0.382,0,0.073,14,17,15.43,7.07,-8.36,0.371,0.336,0,38
"Adams, Devon",Conference USA,Old Dominion,So,C,,,92,0.257,0.38,0.311,1,0.054,1,1,20.65,15.22,-5.43,0.333,0.326,-1,11
"Adams, Jacob",SEC,Ole Miss,Jr,INF,,,143,0.257,0.385,0.416,3,0.159,4,6,15.38,14.69,-0.69,0.289,0.356,3,20
"Adams, Kyle",Atlantic 10,Richmond,Sr,C,,,638,0.31,0.395,0.43,10,0.121,5,9,5.96,12.23,6.27,0.315,0.362,15,92
"Adams, Logan",Ivy League,Dartmouth,Fr,C,,,7,0.429,0.429,0.429,0,0,0,0,28.57,0,-28.57,0.6,0.376,0,1
"Adams, Phil",Southwestern,Grambling,So,OF,,,67,0.18,0.343,0.22,0,0.04,10,12,22.39,17.91,-4.48,0.257,0.287,-3,5
"Adams, Reed",Mid American,Central Mich.,So,INF,,,141,0.235,0.326,0.269,0,0.034,0,1,15.6,10.64,-4.96,0.289,0.281,-6,11
"Adcock, Ty",Colonial,Elon,So,C,,,158,0.235,0.329,0.412,5,0.176,8,11,32.91,8.23,-24.68,0.338,0.325,-1,18
"Addante, Mike",Big 10,Nebraska,Fr,OF,,,34,0.148,0.294,0.185,0,0.037,0,1,17.65,17.65,0,0.19,0.243,-3,2
"Adduci, Anthony",OVC,UT Martin,So,C,,,123,0.225,0.268,0.243,0,0.018,0,1,13.01,2.44,-10.57,0.258,0.234,-10,5
"Aders, Evan",Missouri Valley,Evansville,Fr,OF,,,59,0.173,0.271,0.231,0,0.058,0,0,44.07,6.78,-37.29,0.346,0.236,-5,2
