Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Abate, Dan",Metro Atlantic,Monmouth,So,INF,,,6,0,0.167,0,0,0,0,0,33.33,16.67,-16.66,0,0.115,-1,0
"Abbott, Jacob",OVC,Eastern Ky.,So,INF,,,19,0.167,0.211,0.167,0,0,0,0,26.32,5.26,-21.06,0.231,0.175,-3,0
"Abercrombie, Alec",Summit League,North Dakota St.,Jr,OF,,,28,0.273,0.385,0.364,0,0.091,1,1,17.86,10.71,-7.15,0.353,0.338,0,3
"Aberouette, Felix",Sun Belt,South Ala.,Jr,C,,,13,0.182,0.25,0.273,0,0.091,0,0,38.46,7.69,-30.77,0.333,0.234,-1,0
"Abraham, Kevin",Conference USA,Fla. Atlantic,Sr,C,,,31,0.148,0.258,0.259,1,0.111,0,0,9.68,12.9,3.22,0.13,0.239,-3,1
"Achecar, Freddy",Big East,Georgetown,So,1B,,,22,0.118,0.318,0.176,0,0.058,0,0,9.09,18.18,9.09,0.133,0.255,-1,1
"Acker, Brady",Atlantic 10,George Mason,Sr,OF,,,26,0.304,0.385,0.565,1,0.261,0,0,34.62,7.69,-26.93,0.462,0.402,1,5
"Acker, Joe",Big 10,Nebraska,So,OF,,,42,0.212,0.366,0.212,0,0,0,0,7.14,16.67,9.53,0.233,0.285,-2,3
"Ackerman, Aaron",Horizon,Ill.-Chicago,So,C,2018,794,30,0.429,0.433,0.5,0,0.071,0,0,13.33,3.33,-10,0.48,0.399,2,5
"Acklin, Christian",Southwestern,Alcorn,Sr,OF,,,14,0,0,0,0,0,0,0,50,0,-50,0,0,-4,-2
"Acosta, Alec",Atlantic 10,Davidson,Sr,INF,,,64,0.228,0.27,0.298,0,0.07,2,2,18.75,3.13,-15.62,0.277,0.249,-5,3
"Acosta, Matthew",Pac 12,Southern Cal,So,OF,,,51,0.34,0.392,0.426,0,0.086,1,1,9.8,7.84,-1.96,0.381,0.358,1,7
"Adames, Robin",Southland,Lamar,Jr,INF,,,55,0.32,0.382,0.4,0,0.08,1,1,12.73,5.45,-7.28,0.372,0.346,1,7
"Adams, Chris",Ivy League,Penn,So,INF,,,35,0.194,0.286,0.29,0,0.096,0,0,28.57,8.57,-20,0.286,0.262,-2,2
"Adams, Devon",Conference USA,Old Dominion,So,C,,,23,0.167,0.318,0.167,0,0,0,0,17.39,17.39,0,0.214,0.245,-2,1
"Adams, Jacob",SEC,Ole Miss,Jr,INF,,,49,0.256,0.396,0.256,0,0,3,4,24.49,14.29,-10.2,0.37,0.314,-1,5
"Adams, Kyle",Atlantic 10,Richmond,Sr,C,,,66,0.32,0.47,0.46,1,0.14,0,0,10.61,18.18,7.57,0.349,0.411,4,12
