Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Abate, Dan",Metro Atlantic,Monmouth,So,INF,,,22,0.211,0.318,0.316,0,0.105,1,1,36.36,9.09,-27.27,0.364,0.287,-1,2
"Abbott, Andrew",ACC,Virginia,Fr,P,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abbott, Jacob",OVC,Eastern Ky.,So,INF,,,33,0.286,0.394,0.393,0,0.107,0,0,24.24,9.09,-15.15,0.4,0.351,0,4
"Abercrombie, Alec",Summit League,North Dakota St.,Jr,OF,,,100,0.159,0.289,0.244,1,0.085,3,4,36,15,-21,0.267,0.251,-7,5
"Aberouette, Felix",Sun Belt,South Ala.,Jr,C,,,22,0,0.3,0,0,0,0,0,36.36,22.73,-13.63,0,0.209,-2,0
"Abraham, Kevin",Conference USA,Fla. Atlantic,Sr,C,,,81,0.176,0.272,0.294,2,0.118,0,0,29.63,4.94,-24.69,0.222,0.255,-5,4
"Achecar, Freddy",Big East,Georgetown,So,1B,,,103,0.198,0.284,0.242,0,0.044,0,0,26.21,8.74,-17.47,0.281,0.244,-8,5
"Acker, Brady",Atlantic 10,George Mason,Sr,OF,,,118,0.277,0.381,0.426,3,0.149,1,1,32.2,11.86,-20.34,0.417,0.356,2,16
"Acker, Joe",Big 10,Nebraska,So,OF,,,21,0.158,0.238,0.158,0,0,0,0,33.33,9.52,-23.81,0.25,0.191,-3,0
"Ackerman, Aaron",Horizon,Ill.-Chicago,So,C,2018,794,156,0.268,0.346,0.457,5,0.189,0,1,18.59,10.9,-7.69,0.305,0.346,1,20
"Acklin, Christian",Southwestern,Alcorn,Sr,OF,,,30,0.25,0.379,0.292,0,0.042,2,3,30,16.67,-13.33,0.4,0.313,-1,3
"Acosta, Alec",Atlantic 10,Davidson,Sr,INF,,,187,0.257,0.388,0.417,5,0.16,1,1,12.83,11.76,-1.07,0.267,0.355,3,26
"Acosta, Matthew",Pac 12,Southern Cal,So,OF,,,113,0.227,0.239,0.345,3,0.118,1,4,11.5,0.88,-10.62,0.232,0.25,-8,6
"Adames, Robin",Southland,Lamar,Jr,INF,,,186,0.291,0.387,0.437,5,0.146,3,5,18.82,8.6,-10.22,0.342,0.362,4,27
