Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,Pitches,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,ERA,FIP
"Abbatiello, Neil",Northeast,Wagner,Jr,P,,,167.2,774,2078,19.12,11.63,7.49,0.263,0.357,0.372,0.322,20.54,22.61,4.79,3.94
"Abbott, Andrew",ACC,Virginia,Fr,P,,,51,211,706,36.97,7.58,29.39,0.222,0.28,0.302,0.257,16.59,16.11,3.18,1.85
"Abel, Kevin",Pac 12,Oregon St.,Fr,P,,,81.1,346,1393,31.21,13.29,17.92,0.176,0.306,0.255,0.265,18.21,19.65,2.89,3.32
"Abernathy, Samson",West Coast,Pacific,Jr,P,,,2.1,10,39,0,30,-30,0.143,0.4,0.143,0.295,40,20,4.29,7.43
"Abrahamowicz, Andrew",Big 10,Nebraska,Fr,P,,,24,113,410,16.81,10.62,6.19,0.233,0.345,0.4,0.324,15.04,29.2,4.88,5.98
"Acevedo, Sean",Conference USA,FIU,So,INF,,,3.1,15,NA,26.67,6.67,20,0.308,0.4,0.615,0.428,20,13.33,5.81,6.7
"Achecar, Freddy",Big East,Georgetown,So,1B,,,1.1,7,24,0,14.29,-14.29,0.2,0.429,0.2,0.327,28.57,28.57,NA,8.6
"Acker, Dane",Conference USA,Rice,Fr,P,,,40.2,187,214,17.11,11.23,5.88,0.308,0.401,0.396,0.354,19.79,21.93,4.25,4.14
"Ackley, Kyle",Metro Atlantic,Iona,Sr,P,,,45.2,246,720,11.79,17.48,-5.69,0.282,0.443,0.431,0.386,20.73,20.33,8.36,6.29
"Acosta, Evan",Conference USA,Western Ky.,Jr,P,,,113.1,543,1680,12.15,7.55,4.6,0.319,0.383,0.479,0.369,23.57,23.76,5.89,5.1
"Acosta, Luis",Western Athletic,UTRGV,Jr,P,,,68.4,331,1247,22.96,14.8,8.16,0.276,0.399,0.39,0.353,16.31,20.24,5.53,3.99
"Acosta, Matt",Big West,CSUN,Jr,P,,,71.2,309,1069,13.92,4.85,9.07,0.302,0.34,0.438,0.335,31.07,20.06,4.42,3.98
"Acton, Jansen",Sun Belt,Georgia St.,Sr,P,,,41,202,564,17.33,15.35,1.98,0.247,0.401,0.32,0.334,26.24,12.38,5.05,5.61
"Acuna, James",Pac 12,Oregon,So,P,,,70.2,330,545,16.06,9.7,6.36,0.259,0.358,0.369,0.322,20,25.45,5.64,4.2
"Adair, William",Big West,Cal Poly,Fr,P,,,2.1,14,64,21.43,7.14,14.29,0.462,0.5,0.538,0.452,7.14,21.43,17.14,1.72
"Adams, Chase",Western Athletic,UTRGV,Jr,P,,,79.2,357,1066,22.41,8.68,13.73,0.274,0.356,0.452,0.349,18.77,21.85,5,4.52
"Adams, Cody",Southland,SFA,Jr,P,,,61.5,323,1093,12.07,11.76,0.31,0.341,0.446,0.464,0.397,23.22,17.96,9.51,5.2
"Adams, Derrick",OVC,Jacksonville St.,Jr,P,2018,812,197.3,916,3243,18.56,11.03,7.53,0.301,0.384,0.439,0.357,24.24,16.27,5.66,4.62
"Adams, Jeremy",Mid-Eastern,Bethune-Cookman,Fr,P,,,18,100,346,12,13,-1,0.342,0.47,0.481,0.417,19,21,10.5,5.87
"Adams, Michael",Colonial,Towson,Sr,P,,,140,648,2026,19.6,8.49,11.11,0.3,0.367,0.458,0.354,17.75,23.46,6.17,3.93
"Adams, Tyler",SEC,Alabama,Sr,P,,,23.3,112,408,16.96,15.18,1.78,0.239,0.375,0.273,0.305,26.79,16.07,4.25,4.22
"Adcock, Ty",Colonial,Elon,So,C,,,11.2,58,244,18.97,17.24,1.73,0.233,0.397,0.372,0.346,25.86,12.07,7.23,5.83
"Adkins, Chase",SEC,Georgia,Sr,P,,,160.4,698,990,17.91,8.17,9.74,0.252,0.332,0.39,0.317,25.64,21.78,4.15,4.43
"Ager, Justin",Ivy League,Yale,So,P,,,4,20,34,10,25,-15,0.267,0.45,0.267,0.348,25,20,6.75,5.9
"Agnew, Josh",West Coast,Loyola Marymount,So,P,,,67,284,863,11.62,2.46,9.16,0.309,0.338,0.493,0.355,21.83,32.75,5.78,4.45
"Agnos, Jake",AAC,East Carolina,So,P,,,127.3,570,2232,26.32,12.28,14.04,0.25,0.356,0.336,0.313,15.09,21.23,3.68,3.48
"Aguilera, Juan",Pac 12,Arizona,Sr,P,,,64.2,275,983,18.91,8.36,10.55,0.26,0.327,0.362,0.303,21.45,25.82,3.93,3.15
"Aguilera, Saul",Atlantic 10,George Mason,Sr,P,,,66.1,334,1124,13.17,15.57,-2.4,0.289,0.419,0.389,0.364,21.56,22.75,6.4,5.02
"Aguliar, Clay",AAC,Houston,Fr,P,,,14.2,53,150,32.08,7.55,24.53,0.149,0.245,0.213,0.215,35.85,7.55,1.27,2.02
"Ahearn, Tyler",ACC,Florida St,Fr,P,,,18,86,274,15.12,20.93,-5.81,0.215,0.407,0.354,0.352,23.26,20.93,5.5,6.65
"Aherin, Konnor",OVC,UT Martin,Sr,P,,,28.4,146,489,15.75,6.16,9.59,0.336,0.397,0.664,0.437,19.18,23.29,6.65,6.32
"Ahlrich, Graham",Conference USA,Louisiana Tech,Sr,P,,,81.5,385,1149,16.62,10.39,6.23,0.26,0.351,0.344,0.31,30.65,14.81,3.75,4.09
"Ajjan, Kyle",Metro Atlantic,Monmouth,Jr,P,,,103.1,486,1279,15.23,10.7,4.53,0.27,0.366,0.432,0.347,13.79,32.1,5.41,5.33
"Alba, Jake",American East,Stony Brook,Fr,P,,,2.2,16,54,12.5,6.25,6.25,0.385,0.5,0.615,0.479,25,12.5,16.36,11.33
"Alberius, Nate",Sun Belt,Arkansas St.,Jr,P,,,81.1,349,1132,15.47,6.3,9.17,0.248,0.304,0.355,0.286,29.23,21.49,4.44,3.73
"Albert, Greg",American East,UMBC,Fr,P,,,30.2,141,520,17.73,14.18,3.55,0.267,0.39,0.405,0.353,15.6,26.95,4.17,4.74
"Albrittain, Daniel",Colonial,Elon,Fr,P,,,9,41,160,14.63,12.2,2.43,0.265,0.341,0.324,0.295,29.27,17.07,4,3.48
"Albunia, Joe",Metro Atlantic,Saint Peters,Fr,P,,,38,218,642,8.26,12.39,-4.13,0.377,0.472,0.686,0.475,11.93,29.82,13.97,7.52
"Aldam, Jackson",Northeast,Sacred Heart,Jr,P,,,87.1,419,901,11.93,9.31,2.62,0.297,0.379,0.422,0.349,21.72,25.54,5.06,4.75
"Alderman, Trey",Big South,Radford,So,P,,,33.2,169,372,14.2,11.24,2.96,0.281,0.391,0.533,0.389,23.08,20.12,8.4,7.76
"Aleaziz, Reza",Big 12,Oklahoma State,Jr,P,2018,854,46.1,212,707,15.57,12.26,3.31,0.269,0.363,0.389,0.33,25.47,19.34,4.49,4.8
"Alepra, Anthony",Big 10,Northwestern,Fr,P,,,22,101,126,12.87,7.92,4.95,0.308,0.376,0.374,0.334,13.86,35.64,6.95,3.33
"Alexander, Connor",AAC,Memphis,Sr,P,,,279.4,1218,3771,14.45,6.32,8.13,0.301,0.35,0.421,0.334,27.26,22.09,4.86,3.85
"Alexander, Nathan",Conference USA,UTSA,Jr,P,2018,717,31,132,519,22.73,7.58,15.15,0.248,0.303,0.364,0.291,21.21,25,3.19,3.02
"Alkire, Jack",Atlantic 10,VCU,Jr,P,,,57.3,267,1021,23.97,12.73,11.24,0.253,0.367,0.317,0.313,17.23,20.6,4.71,3.79
"Alldred, Cam",AAC,Cincinnati,Jr,P,2018,714,111.5,503,1880,21.47,10.54,10.93,0.249,0.352,0.4,0.331,17.69,24.25,4.6,4.4
"Allen, Brad",Mid American,Eastern Mich.,Sr,P,,,130.3,622,1866,14.15,10.29,3.86,0.298,0.387,0.438,0.36,19.94,25.4,5.46,4.73
"Allen, Cody",Southland,Incarnate Word,Jr,P,,,118.4,524,1910,17.37,7.63,9.74,0.277,0.332,0.385,0.312,22.33,25.19,4.41,3.49
"Allen, Logan",Conference USA,FIU,Fr,P,,,74,310,404,27.42,5.16,22.26,0.262,0.303,0.404,0.303,15.81,23.87,3.89,3.07
"Allen, Trent",Missouri Valley,Wichita St.,Fr,P,,,1.1,9,43,33.33,22.22,11.11,0.333,0.556,0.5,0.469,11.11,0,16.36,5.87
"Allen, Wilhelm",Southwestern,Southern U.,So,P,,,54.2,275,614,12.36,16,-3.64,0.317,0.44,0.385,0.372,21.45,20.36,4.98,5.25
"Allen, Winston",Colonial,Delaware,Fr,P,,,18.2,88,351,15.91,10.23,5.68,0.247,0.364,0.37,0.328,22.73,23.86,5.44,4.63
"Alley, Trent",Southern,Furman,So,UT,,,50.2,247,846,15.38,11.74,3.64,0.324,0.417,0.527,0.403,17.81,23.48,8.07,6.12
"Allgeyer, Nick",Big 10,Iowa,Jr,P,2018,356,143.3,593,1718,22.43,7.59,14.84,0.229,0.29,0.352,0.28,20.07,26.31,2.76,3.45
"Allinger, Austin",Missouri Valley,Evansville,Jr,P,,,161.2,744,2377,18.95,11.02,7.93,0.262,0.352,0.389,0.325,24.33,19.22,5.19,4.33
"Almquist, Andy",Mid American,Miami (OH),Jr,P,,,96.3,443,1197,23.25,12.19,11.06,0.268,0.361,0.412,0.338,22.57,17.16,5.23,3.62
"Alsbrooks, Quentin",Southwestern,Alabama A&M,Jr,P,,,25.2,163,346,9.2,25.15,-15.95,0.318,0.528,0.418,0.431,15.34,21.47,11.43,9.06
"Altamarino, Kevin",Western Athletic,CSU Bakersfield,Fr,P,,,29,147,522,10.2,12.24,-2.04,0.336,0.429,0.459,0.386,25.85,19.05,6.83,4.84
"Altieri, Zach",Colonial,Hofstra,Jr,P,,,14.4,91,318,14.29,23.08,-8.79,0.343,0.495,0.478,0.426,14.29,19.78,8.13,7.73
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,85.2,381,1403,21,9.19,11.81,0.243,0.339,0.335,0.304,19.69,23.88,4.33,4.25
"Alvarez, Andrew",Big West,Cal Poly,Fr,P,,,18.2,94,331,17.02,12.77,4.25,0.292,0.404,0.389,0.35,23.4,13.83,6.43,4.19
"Alvarez, Daniel",Mid-Eastern,Coppin St.,Jr,P,,,12.4,96,315,8.33,20.83,-12.5,0.457,0.573,0.643,0.509,13.54,17.71,23.95,8.47
"Amador, Willy",Conference USA,Rice,Sr,P,,,153.2,707,845,16.41,10.04,6.37,0.284,0.373,0.436,0.353,19.66,25.18,5.7,4.96
"Ames, Donnie",Missouri Valley,Indiana St.,So,P,,,36.2,177,442,12.43,5.65,6.78,0.31,0.356,0.449,0.345,24.86,24.29,5.97,4.53
"Ammons, Logan",Southland,SFA,So,P,,,16,77,245,15.58,12.99,2.59,0.313,0.416,0.453,0.379,15.58,25.97,6.75,4.71
"Amone, Tristan",Metro Atlantic,Fairfield,So,P,,,15,80,162,16.25,15,1.25,0.328,0.425,0.375,0.357,16.25,21.25,7.8,4.01
"Anders, Taylor",Southland,Central Ark.,Jr,P,,,15,69,197,23.19,10.14,13.05,0.293,0.377,0.483,0.365,18.84,17.39,7.2,3.68
"Anderson, Aidan",Southland,McNeese,Jr,P,,,109.4,499,1788,23.65,10.82,12.83,0.262,0.351,0.396,0.328,18.64,21.64,5.35,3.64
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,23.2,108,418,12.96,10.19,2.77,0.272,0.352,0.37,0.317,17.59,31.48,5.43,3.62
"Anderson, Ben",American East,Binghamton,So,P,,,49.2,201,417,17.41,7.96,9.45,0.19,0.274,0.322,0.263,19.4,33.33,2.38,4.39
"Anderson, Chase",Mid-Eastern,Norfolk St.,Jr,INF,,,207.3,909,1721,21.01,9.02,11.99,0.27,0.332,0.364,0.303,21.89,19.8,3.43,3
"Anderson, Cody",Pac 12,Washington St.,Sr,P,,,125.3,564,1993,15.96,6.74,9.22,0.289,0.351,0.396,0.326,27.48,19.33,4.6,3.52
"Anderson, Elliott",SEC,Auburn,So,P,,,41.4,194,687,21.13,11.86,9.27,0.273,0.366,0.364,0.325,23.71,17.01,4.57,3.36
"Anderson, Grant",Southland,McNeese,Jr,P,2018,628,158.4,697,2434,20.52,8.9,11.62,0.265,0.343,0.381,0.318,25.39,17.79,4.2,3.74
"Anderson, Jack",Colonial,Hofstra,Fr,P,,,3,14,53,14.29,7.14,7.15,0.25,0.286,0.25,0.237,21.43,28.57,6,2.81
"Anderson, Jack",Ivy League,Princeton,Fr,P,,,20,101,171,13.86,11.88,1.98,0.305,0.396,0.451,0.364,20.79,21.78,5.85,4.65
"Anderson, Jack",Missouri Valley,Illinois St.,Fr,P,,,6,32,33,0,15.63,-15.63,0.385,0.5,0.577,0.463,18.75,31.25,10.5,8.31
"Anderson, Ka'ikepono",Sun Belt,UT Arlington,Jr,P,,,71.1,311,917,17.04,6.11,10.93,0.278,0.331,0.454,0.337,20.26,28.62,4.43,4.5
"Anderson, Kyle",Northeast,Central Conn. St.,Sr,P,,,66.1,295,365,15.25,7.46,7.79,0.281,0.346,0.379,0.317,18.31,28.81,3.13,4.13
"Anderson, Landon",Big West,Cal St. Fullerton,Fr,P,,,10,49,198,10.2,12.24,-2.04,0.293,0.367,0.439,0.346,16.33,32.65,2.7,6.55
"Anderson, Luke",SEC,Missouri,Fr,P,,,10,56,190,17.86,16.07,1.79,0.318,0.446,0.455,0.396,30.36,5.36,8.1,5.75
"Anderson, Mark",Patriot,Lafayette,So,P,,,76.2,383,928,17.49,14.88,2.61,0.296,0.402,0.433,0.362,18.54,20.37,7.68,4.38
"Anderson, Mason",Colonial,Towson,Jr,P,,,38.5,210,559,10.95,15.24,-4.29,0.331,0.452,0.521,0.42,22.38,20.48,10.05,6.68
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,28.1,133,491,18.8,9.02,9.78,0.296,0.368,0.409,0.339,19.55,22.56,4.8,3.43
"Anderson, Reid",Ivy League,Brown,Sr,P,2018,1207,142.3,694,1271,18.73,12.54,6.19,0.313,0.412,0.442,0.373,23.34,14.55,6.01,4.58
"Anderson, Ryan",Mid-Eastern,Florida A&M,Sr,P,,,253.6,1181,1522,11.94,7.87,4.07,0.305,0.37,0.432,0.347,26.16,22.18,5.22,4.68
"Anderson, Ryan",Mountain West,Nevada,So,P,,,59.3,291,1054,19.93,9.62,10.31,0.312,0.395,0.445,0.365,21.65,16.84,6.68,3.77
"Anderson, Tyler",Mid American,Bowling Green,Sr,P,,,171.7,804,1525,14.8,11.44,3.36,0.296,0.394,0.422,0.358,22.89,20.9,5.66,4.75
"Anderson, Tyler",OVC,Murray St.,Sr,P,,,74.5,348,1308,30.75,12.36,18.39,0.256,0.351,0.401,0.329,16.09,16.67,4.95,3.17
"Anderson, William",Mid American,Northern Ill.,Jr,P,,,176.1,832,1574,14.42,9.86,4.56,0.317,0.4,0.425,0.361,24.28,18.99,5.21,4.47
"Andrew, Adam",Big South,Charleston So.,Jr,P,,,19.4,110,289,14.55,13.64,0.91,0.31,0.4,0.391,0.346,20.91,19.09,6.49,4.13
"Andrews, Brandon",Southland,Nicholls St.,Fr,P,,,16.2,72,242,12.5,5.56,6.94,0.297,0.347,0.609,0.394,12.5,37.5,5.56,7.16
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,99.2,396,1493,29.8,4.29,25.51,0.213,0.26,0.298,0.246,20.71,22.22,2,2.05
"Andrews, Josh",Western Athletic,Grand Canyon,Jr,P,,,48.2,229,905,24.45,14.85,9.6,0.238,0.38,0.326,0.324,14.41,21.4,5.6,3.83
"Andrews, Luke",Big West,UC Santa Barbara,Jr,P,,,46.2,199,680,15.08,5.03,10.05,0.268,0.312,0.393,0.305,30.15,22.11,4.09,4.1
"Andrews, Tanner",Big 10,Purdue,Sr,P,2018,297,257.5,1147,3814,16.04,10.46,5.58,0.258,0.341,0.364,0.311,26.07,21.45,3.7,4.13
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,2,10,34,10,0,10,0.333,0.3,0.444,0.3,30,20,NA,2.15
"Angel, Kyle",Colonial,Northeastern,Fr,P,,,9.1,53,167,16.98,26.42,-9.44,0.229,0.453,0.257,0.349,13.21,20.75,5.93,6.44
"Antalek, Jason",Metro Atlantic,Iona,So,P,,,27.1,125,410,11.2,6.4,4.8,0.316,0.368,0.404,0.337,24,27.2,7.31,3.22
"Anthony, Mike",Atlantic 10,La Salle,Jr,P,,,101.3,522,1029,13.03,11.88,1.15,0.32,0.41,0.458,0.375,19.54,23.18,6.22,5.24
"Appel, Mike",Northeast,Central Conn. St.,Jr,P,,,193.4,873,1308,14.66,12.83,1.83,0.25,0.369,0.349,0.323,22.45,23.6,3.96,4.68
"Applegate, Jason",Big East,Villanova,Jr,P,,,62.1,293,835,19.8,11.95,7.85,0.261,0.375,0.39,0.34,21.16,19.8,5.51,4.6
"Archambault, Jesse",Northeast,Mt. St. Marys,Sr,DH,,,40.1,231,517,12.55,22.51,-9.96,0.287,0.494,0.419,0.414,12.12,24.68,13.02,7.76
"Archer, Andy",ACC,Georgia Tech,So,P,,,56.1,239,817,20.08,8.79,11.29,0.239,0.31,0.364,0.294,21.34,25.1,3.85,4.11
"Arel, John",American East,Maine,Sr,P,,,168.2,771,1236,21.92,10.12,11.8,0.252,0.353,0.379,0.324,17.9,22.96,5.35,4.16
"Arella, Tyler",Big East,Villanova,So,P,,,73.1,350,1124,18.86,8.57,10.29,0.31,0.374,0.425,0.347,16.86,24.57,6.28,3.71
"Arens, Matt",Big West,Cal Poly,Fr,P,,,32,143,515,13.99,9.79,4.2,0.244,0.329,0.317,0.29,18.18,32.87,3.66,3.9
"Arguelles, Andy",Sun Belt,South Ala.,So,P,,,73.1,334,1344,20.36,11.98,8.38,0.27,0.365,0.409,0.339,18.26,22.75,5.42,4.42
"Arias, Jaime",Mountain West,Fresno St.,Fr,P,,,68.1,279,890,22.22,4.3,17.92,0.223,0.276,0.41,0.293,20.43,27.24,3.7,4.73
"Arjona, Kyle",Southland,New Orleans,Jr,P,,,65.1,295,1022,18.64,6.44,12.2,0.28,0.336,0.398,0.318,26.78,18.31,4.7,3.85
"Armstrong, Caleb",Sun Belt,Louisiana,So,P,,,12.1,79,297,20.25,21.52,-1.27,0.314,0.519,0.471,0.438,16.46,7.59,9.67,8.85
"Armstrong, Trevor",Summit League,Fort Wayne,Fr,P,,,29,154,446,10.39,10.39,0,0.357,0.403,0.492,0.374,21.43,20.78,8.07,5.15
"Armstrong, Walker",Big West,CSUN,Jr,P,,,93,389,1410,15.94,6.68,9.26,0.264,0.332,0.344,0.301,32.65,17.48,3.39,3.71
"Arneth, Anthony",Metro Atlantic,Rider,Jr,P,,,61.2,323,613,11.46,13.62,-2.16,0.32,0.415,0.492,0.385,15.79,26.63,7.21,5.97
"Arnold, Austin",Ivy League,Cornell,Jr,P,,,7.3,40,56,17.5,15,2.5,0.25,0.375,0.344,0.326,5,37.5,1.23,5.89
"Arnold, Hayden",Sun Belt,Little Rock,Fr,P,,,51,212,894,25,9.91,15.09,0.207,0.283,0.353,0.276,20.75,23.11,3.53,3.64
