Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Abbatiello, Neil",Northeast,Wagner,Jr,P,,,29.4,170,20,14.71,5.29,0.266,0.376,0.338,0.323,21.76,18.24,4.47
"Abbott, Andrew",ACC,Virginia,Fr,P,,,19.2,65,52.31,3.08,49.23,0.127,0.154,0.159,0.141,12.31,20,-0.08
"Abel, Kevin",Pac 12,Oregon St.,Fr,P,,,28,115,27.83,15.65,12.18,0.156,0.287,0.208,0.239,23.48,19.13,3.25
"Abernathy, Samson",West Coast,Pacific,Jr,P,,,1.2,5,0,20,-20,0,0.2,0,0.138,60,20,5.65
"Abrahamowicz, Andrew",Big 10,Nebraska,Fr,P,,,6,33,3.03,18.18,-15.15,0.32,0.424,0.56,0.405,15.15,33.33,7.98
"Acevedo, Sean",Conference USA,FIU,So,INF,,,0.1,3,33.33,0,33.33,0.5,0.667,1,0.654,0,0,13.15
"Achecar, Freddy",Big East,Georgetown,So,1B,,,0.1,3,0,0,0,0.5,0.667,0.5,0.533,33.33,0,33.15
"Acker, Dane",Conference USA,Rice,Fr,P,,,10.1,55,20,14.55,5.45,0.362,0.455,0.511,0.418,14.55,20,4.63
"Ackley, Kyle",Metro Atlantic,Iona,Sr,P,,,6.9,66,10.61,19.7,-9.09,0.311,0.485,0.444,0.409,22.73,13.64,8.94
"Acosta, Evan",Conference USA,Western Ky.,Jr,P,,,34.5,178,16.29,7.87,8.42,0.261,0.337,0.401,0.322,20.22,28.65,4.63
"Acosta, Luis",Western Athletic,UTRGV,Jr,P,,,18.9,122,18.03,14.75,3.28,0.311,0.418,0.417,0.371,20.49,19.67,4.52
"Acosta, Matt",Big West,CSUN,Jr,P,,,26,108,8.33,5.56,2.77,0.253,0.287,0.323,0.265,37.04,23.15,3.15
"Acton, Jansen",Sun Belt,Georgia St.,Sr,P,,,8.5,71,14.08,29.58,-15.5,0.319,0.507,0.468,0.427,19.72,11.27,11.26
"Acuna, James",Pac 12,Oregon,So,P,,,25.3,137,16.79,12.41,4.38,0.274,0.387,0.407,0.351,21.17,21.9,5.48
"Adair, William",Big West,Cal Poly,Fr,P,,,0.1,3,0,0,0,0.667,0.667,1,0.707,0,33.33,3.15
"Adams, Chase",Western Athletic,UTRGV,Jr,P,,,29,132,21.97,9.09,12.88,0.281,0.371,0.456,0.359,18.18,21.97,4.25
"Adams, Cody",Southland,SFA,Jr,P,,,17,80,20,12.5,7.5,0.203,0.375,0.254,0.304,17.5,21.25,4.44
"Adams, Derrick",OVC,Jacksonville St.,Jr,P,2018,812,42.3,230,20.43,11.74,8.69,0.259,0.37,0.413,0.343,20.43,20,5.01
"Adams, Jeremy",Mid-Eastern,Bethune-Cookman,Fr,P,,,6,36,16.67,13.89,2.78,0.414,0.528,0.621,0.49,16.67,13.89,6.81
"Adams, Michael",Colonial,Towson,Sr,P,,,38.7,205,14.63,8.78,5.85,0.341,0.4,0.508,0.386,24.39,18.54,4.23
"Adams, Tyler",SEC,Alabama,Sr,P,,,3.8,34,14.71,23.53,-8.82,0.32,0.471,0.36,0.38,14.71,20.59,6.83
"Adcock, Ty",Colonial,Elon,So,C,,,3.2,15,26.67,13.33,13.34,0.231,0.333,0.231,0.268,26.67,13.33,2.52
"Adkins, Chase",SEC,Georgia,Sr,P,,,69.9,330,15.45,9.09,6.36,0.271,0.345,0.417,0.331,29.09,19.09,4.53
"Ager, Justin",Ivy League,Yale,So,P,,,1,6,0,50,-50,0,0.5,0,0.345,33.33,16.67,12.15
"Agnew, Josh",West Coast,Loyola Marymount,So,P,,,25.2,120,9.17,1.67,7.5,0.365,0.392,0.548,0.402,22.5,29.17,4.93
"Agnos, Jake",AAC,East Carolina,So,P,,,26.9,151,30.46,14.57,15.89,0.298,0.411,0.347,0.345,12.58,14.57,3
