Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Abbatiello, Neil",Northeast,Wagner,Jr,P,,,113.2,552,18.3,11.23,7.07,0.26,0.353,0.384,0.324,20.65,23.91,4.1
"Abbott, Andrew",ACC,Virginia,Fr,P,,,31.1,146,30.14,9.59,20.55,0.27,0.336,0.373,0.309,18.49,14.38,3.02
"Abel, Kevin",Pac 12,Oregon St.,Fr,P,,,37,146,34.25,9.59,24.66,0.15,0.26,0.189,0.218,14.38,25.34,2.34
"Abernathy, Samson",West Coast,Pacific,Jr,P,,,0.2,5,0,40,-40,0.333,0.6,0.333,0.452,20,20,33.15
"Abrahamowicz, Andrew",Big 10,Nebraska,Fr,P,,,17.2,79,22.78,7.59,15.19,0.203,0.316,0.344,0.295,15.19,26.58,5.41
"Acevedo, Sean",Conference USA,FIU,So,INF,,,3,12,25,8.33,16.67,0.273,0.333,0.545,0.372,25,16.67,6.48
"Achecar, Freddy",Big East,Georgetown,So,1B,,,1,4,0,25,-25,0,0.25,0,0.173,25,50,6.15
"Acker, Dane",Conference USA,Rice,Fr,P,,,30.1,132,15.91,9.85,6.06,0.286,0.379,0.348,0.328,21.97,22.73,3.98
"Ackley, Kyle",Metro Atlantic,Iona,Sr,P,,,22,171,11.7,17.54,-5.84,0.286,0.444,0.444,0.391,19.3,21.64,7.97
"Acosta, Evan",Conference USA,Western Ky.,Jr,P,,,63.9,365,10.14,7.4,2.74,0.347,0.405,0.517,0.392,25.21,21.37,5.81
"Acosta, Luis",Western Athletic,UTRGV,Jr,P,,,37.6,209,25.84,14.83,11.01,0.254,0.388,0.373,0.342,13.88,20.57,4
"Acosta, Matt",Big West,CSUN,Jr,P,,,45.1,200,17,4.5,12.5,0.33,0.365,0.497,0.368,26.5,18.5,4.46
"Acton, Jansen",Sun Belt,Georgia St.,Sr,P,,,24.8,131,19.08,7.63,11.45,0.214,0.344,0.252,0.283,29.77,12.98,4.44
"Acuna, James",Pac 12,Oregon,So,P,,,38.6,193,15.54,7.77,7.77,0.248,0.337,0.342,0.301,19.17,27.98,3.54
"Adair, William",Big West,Cal Poly,Fr,P,,,2,10,30,0,30,0.4,0.4,0.4,0.351,10,20,0.15
"Adams, Chase",Western Athletic,UTRGV,Jr,P,,,50.2,226,22.57,8.41,14.16,0.269,0.345,0.447,0.341,19.03,22.12,4.68
"Adams, Cody",Southland,SFA,Jr,P,,,27.1,126,13.49,10.32,3.17,0.302,0.405,0.462,0.379,26.19,19.05,5.43
"Adams, Derrick",OVC,Jacksonville St.,Jr,P,2018,812,140.8,685,17.96,10.8,7.16,0.314,0.388,0.448,0.361,25.26,15.18,4.65
"Adams, Jeremy",Mid-Eastern,Bethune-Cookman,Fr,P,,,12,64,9.38,12.5,-3.12,0.3,0.438,0.4,0.376,20.31,25,5.4
"Adams, Michael",Colonial,Towson,Sr,P,,,94.3,443,21.9,8.35,13.55,0.281,0.352,0.435,0.339,14.67,25.73,3.86
"Adams, Tyler",SEC,Alabama,Sr,P,,,15.3,78,17.95,11.54,6.41,0.206,0.333,0.238,0.272,32.05,14.1,3.87
"Adcock, Ty",Colonial,Elon,So,C,,,8,43,16.28,18.6,-2.32,0.233,0.419,0.433,0.374,25.58,11.63,7.15
"Adkins, Chase",SEC,Georgia,Sr,P,,,83.5,368,20.11,7.34,12.77,0.236,0.321,0.366,0.304,22.55,24.18,4.44
"Ager, Justin",Ivy League,Yale,So,P,,,3,14,14.29,14.29,0,0.333,0.429,0.333,0.35,21.43,21.43,3.81
"Agnew, Josh",West Coast,Loyola Marymount,So,P,,,40.2,162,13.58,3.09,10.49,0.266,0.296,0.435,0.312,20.99,35.19,3.87
"Agnos, Jake",AAC,East Carolina,So,P,,,92.7,419,24.82,11.46,13.36,0.233,0.337,0.332,0.301,15.99,23.63,3.65
"Aguilera, Juan",Pac 12,Arizona,Sr,P,,,39.9,173,17.92,8.67,9.25,0.239,0.306,0.335,0.283,20.81,29.48,3.12
"Aguilera, Saul",Atlantic 10,George Mason,Sr,P,,,31.8,220,13.64,16.82,-3.18,0.289,0.432,0.399,0.373,23.18,19.09,6.32
"Aguliar, Clay",AAC,Houston,Fr,P,,,9,34,32.35,8.82,23.53,0.2,0.294,0.3,0.268,26.47,11.76,2.04
"Ahearn, Tyler",ACC,Florida St,Fr,P,,,10.2,54,12.96,25.93,-12.97,0.225,0.426,0.275,0.339,16.67,27.78,5.89
"Aherin, Konnor",OVC,UT Martin,Sr,P,,,16.2,92,14.13,5.43,8.7,0.333,0.38,0.654,0.423,17.39,27.17,7.04
"Ahlrich, Graham",Conference USA,Louisiana Tech,Sr,P,,,42.9,232,15.09,9.48,5.61,0.253,0.345,0.338,0.307,31.03,17.67,4.22
"Ajjan, Kyle",Metro Atlantic,Monmouth,Jr,P,,,66.1,347,14.99,12.68,2.31,0.273,0.375,0.433,0.351,12.68,32.85,5.66
"Alba, Jake",American East,Stony Brook,Fr,P,,,1.2,10,10,0,10,0.444,0.5,0.778,0.537,30,10,14.81
"Alberius, Nate",Sun Belt,Arkansas St.,Jr,P,,,55.2,232,15.09,5.17,9.92,0.245,0.297,0.313,0.269,32.76,19.83,3.09
"Albert, Greg",American East,UMBC,Fr,P,,,21.1,98,20.41,15.31,5.1,0.269,0.408,0.41,0.365,13.27,24.49,5.18
"Albrittain, Daniel",Colonial,Elon,Fr,P,,,7,30,16.67,16.67,0,0.174,0.3,0.174,0.232,30,16.67,3.86
"Albunia, Joe",Metro Atlantic,Saint Peters,Fr,P,,,23.2,135,8.15,11.85,-3.7,0.387,0.474,0.775,0.505,12.59,29.63,8.84
