Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,Pitches,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,ERA,FIP
"Abbatiello, Neil",Northeast,Wagner,Jr,P,,,87.1,376,1055,21.01,8.78,12.23,0.236,0.314,0.321,0.284,20.21,25.8,3.3,3.46
"Abbott, Andrew",ACC,Virginia,Fr,P,,,51,211,706,36.97,7.58,29.39,0.222,0.28,0.302,0.257,16.59,16.11,3.18,1.85
"Abel, Kevin",Pac 12,Oregon St.,Fr,P,,,81.1,346,1393,31.21,13.29,17.92,0.176,0.306,0.255,0.265,18.21,19.65,2.88,3.32
"Abernathy, Samson",West Coast,Pacific,Jr,P,,,2.1,10,39,0,30,-30,0.143,0.4,0.143,0.295,40,20,3.86,7.43
"Abrahamowicz, Andrew",Big 10,Nebraska,Fr,P,,,24,113,410,16.81,10.62,6.19,0.233,0.345,0.4,0.324,15.04,29.2,4.88,5.98
"Acevedo, Sean",Conference USA,FIU,So,INF,,,3.1,15,NA,26.67,6.67,20,0.308,0.4,0.615,0.428,20,13.33,5.4,6.7
"Achecar, Freddy",Big East,Georgetown,So,1B,,,1.1,7,24,0,14.29,-14.29,0.2,0.429,0.2,0.327,28.57,28.57,0,8.6
"Acker, Dane",Conference USA,Rice,Fr,P,,,40.2,187,214,17.11,11.23,5.88,0.308,0.401,0.396,0.354,19.79,21.93,4.2,4.14
"Ackley, Kyle",Metro Atlantic,Iona,Sr,P,,,13,68,204,16.18,20.59,-4.41,0.28,0.456,0.42,0.392,11.76,25,4.85,5.38
"Acosta, Evan",Conference USA,Western Ky.,Jr,P,,,39.1,186,569,10.75,10.22,0.53,0.277,0.376,0.406,0.344,25.27,24.19,5.03,4.86
"Acosta, Luis",Western Athletic,UTRGV,Jr,P,,,33.2,173,634,25.43,16.76,8.67,0.3,0.428,0.429,0.379,12.72,18.5,5.35,3.78
"Acosta, Matt",Big West,CSUN,Jr,P,,,71.2,309,1069,13.92,4.85,9.07,0.302,0.34,0.438,0.335,31.07,20.06,4.4,3.98
"Acton, Jansen",Sun Belt,Georgia St.,Sr,P,,,20,91,236,19.78,13.19,6.59,0.229,0.374,0.271,0.306,26.37,13.19,3.15,4.7
