Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Abbatiello, Neil",Northeast,Wagner,Jr,P,,,15.1,74,25.68,13.51,12.17,0.262,0.365,0.344,0.318,18.92,16.22,3.68
"Abbott, Andrew",ACC,Virginia,Fr,P,,,19.2,65,52.31,3.08,49.23,0.127,0.154,0.159,0.141,12.31,20,-0.08
"Abel, Kevin",Pac 12,Oregon St.,Fr,P,,,28,115,27.83,15.65,12.18,0.156,0.287,0.208,0.239,23.48,19.13,3.25
"Abernathy, Samson",West Coast,Pacific,Jr,P,,,1.2,5,0,20,-20,0,0.2,0,0.138,60,20,5.65
"Abrahamowicz, Andrew",Big 10,Nebraska,Fr,P,,,6,33,3.03,18.18,-15.15,0.32,0.424,0.56,0.405,15.15,33.33,7.98
"Acevedo, Sean",Conference USA,FIU,So,INF,,,0.1,3,33.33,0,33.33,0.5,0.667,1,0.654,0,0,13.15
"Achecar, Freddy",Big East,Georgetown,So,1B,,,0.1,3,0,0,0,0.5,0.667,0.5,0.533,33.33,0,33.15
"Acker, Dane",Conference USA,Rice,Fr,P,,,10.1,55,20,14.55,5.45,0.362,0.455,0.511,0.418,14.55,20,4.63
"Ackley, Kyle",Metro Atlantic,Iona,Sr,P,,,3.2,20,20,20,0,0.267,0.45,0.4,0.386,20,15,5.33
"Acosta, Evan",Conference USA,Western Ky.,Jr,P,,,12.2,57,14.04,10.53,3.51,0.234,0.368,0.34,0.325,19.3,29.82,5.36
"Acosta, Luis",Western Athletic,UTRGV,Jr,P,,,11.1,65,18.46,18.46,0,0.385,0.508,0.577,0.465,13.85,16.92,5.67
"Acosta, Matt",Big West,CSUN,Jr,P,,,26,108,8.33,5.56,2.77,0.253,0.287,0.323,0.265,37.04,23.15,3.15
"Acton, Jansen",Sun Belt,Georgia St.,Sr,P,,,6.1,31,12.9,22.58,-9.68,0.273,0.419,0.409,0.363,22.58,16.13,7.41
"Acuna, James",Pac 12,Oregon,So,P,,,18.1,93,13.98,13.98,0,0.303,0.43,0.487,0.401,22.58,20.43,6.68
"Adair, William",Big West,Cal Poly,Fr,P,,,0.1,3,0,0,0,0.667,0.667,1,0.707,0,33.33,3.15
"Adams, Chase",Western Athletic,UTRGV,Jr,P,,,29,132,21.97,9.09,12.88,0.281,0.371,0.456,0.359,18.18,21.97,4.25
"Adams, Cody",Southland,SFA,Jr,P,,,17,80,20,12.5,7.5,0.203,0.375,0.254,0.304,17.5,21.25,4.44
"Adams, Derrick",OVC,Jacksonville St.,Jr,P,2018,812,17.1,79,15.19,7.59,7.6,0.304,0.38,0.449,0.36,26.58,18.99,4.84
"Adams, Jeremy",Mid-Eastern,Bethune-Cookman,Fr,P,,,6,36,16.67,13.89,2.78,0.414,0.528,0.621,0.49,16.67,13.89,6.81
"Adams, Michael",Colonial,Towson,Sr,P,,,19.2,96,17.71,5.21,12.5,0.375,0.396,0.591,0.41,22.92,16.67,3.51
"Adams, Tyler",SEC,Alabama,Sr,P,,,3,18,0,22.22,-22.22,0.357,0.5,0.357,0.397,16.67,33.33,7.15
"Adcock, Ty",Colonial,Elon,So,C,,,3.2,15,26.67,13.33,13.34,0.231,0.333,0.231,0.268,26.67,13.33,2.52
"Adkins, Chase",SEC,Georgia,Sr,P,,,37.1,163,15.34,7.36,7.98,0.276,0.337,0.448,0.336,27.61,21.47,4.41
"Ager, Justin",Ivy League,Yale,So,P,,,1,6,0,50,-50,0,0.5,0,0.345,33.33,16.67,12.15
"Agnew, Josh",West Coast,Loyola Marymount,So,P,,,25.2,120,9.17,1.67,7.5,0.365,0.392,0.548,0.402,22.5,29.17,4.93
"Agnos, Jake",AAC,East Carolina,So,P,,,16.1,81,32.1,11.11,20.99,0.371,0.457,0.414,0.39,7.41,14.81,1.97
"Aguilera, Juan",Pac 12,Arizona,Sr,P,,,18.1,84,17.86,8.33,9.53,0.297,0.369,0.365,0.326,23.81,20.24,2.98
"Aguilera, Saul",Atlantic 10,George Mason,Sr,P,,,2.2,14,7.14,21.43,-14.29,0.2,0.429,0.2,0.325,21.43,28.57,7.69
"Aguliar, Clay",AAC,Houston,Fr,P,,,5.2,19,31.58,5.26,26.32,0.059,0.158,0.059,0.121,52.63,0,1.99
"Ahearn, Tyler",ACC,Florida St,Fr,P,,,7.1,32,18.75,12.5,6.25,0.2,0.375,0.48,0.374,34.38,9.38,8.08
"Aherin, Konnor",OVC,UT Martin,Sr,P,,,8.2,41,19.51,7.32,12.19,0.278,0.366,0.5,0.372,29.27,14.63,4.61
"Ahlrich, Graham",Conference USA,Louisiana Tech,Sr,P,,,5.1,29,17.24,20.69,-3.45,0.2,0.379,0.25,0.301,10.34,27.59,5.3
"Ajjan, Kyle",Metro Atlantic,Monmouth,Jr,P,,,9.1,43,18.6,11.63,6.97,0.25,0.372,0.417,0.349,11.63,32.56,5.13
