Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Abbatiello, Neil",Northeast,Wagner,Jr,P,,,65,274,18.98,8.03,10.95,0.229,0.303,0.322,0.279,22.63,27.37,3.59
"Abbott, Andrew",ACC,Virginia,Fr,P,,,31.1,146,30.14,9.59,20.55,0.27,0.336,0.373,0.309,18.49,14.38,3.02
"Abel, Kevin",Pac 12,Oregon St.,Fr,P,,,37,146,34.25,9.59,24.66,0.15,0.26,0.189,0.218,14.38,25.34,2.34
"Abernathy, Samson",West Coast,Pacific,Jr,P,,,0.2,5,0,40,-40,0.333,0.6,0.333,0.452,20,20,33.15
"Abrahamowicz, Andrew",Big 10,Nebraska,Fr,P,,,17.2,79,22.78,7.59,15.19,0.203,0.316,0.344,0.295,15.19,26.58,5.41
"Acevedo, Sean",Conference USA,FIU,So,INF,,,3,12,25,8.33,16.67,0.273,0.333,0.545,0.372,25,16.67,6.48
"Achecar, Freddy",Big East,Georgetown,So,1B,,,1,4,0,25,-25,0,0.25,0,0.173,25,50,6.15
"Acker, Dane",Conference USA,Rice,Fr,P,,,30.1,132,15.91,9.85,6.06,0.286,0.379,0.348,0.328,21.97,22.73,3.98
"Ackley, Kyle",Metro Atlantic,Iona,Sr,P,,,9.1,48,14.58,20.83,-6.25,0.286,0.458,0.429,0.394,8.33,29.17,5.56
"Acosta, Evan",Conference USA,Western Ky.,Jr,P,,,26.2,129,9.3,10.08,-0.78,0.296,0.38,0.435,0.352,27.91,21.71,4.67
"Acosta, Luis",Western Athletic,UTRGV,Jr,P,,,22.1,108,29.63,15.74,13.89,0.25,0.38,0.341,0.328,12.04,19.44,2.83
"Acosta, Matt",Big West,CSUN,Jr,P,,,45.1,200,17,4.5,12.5,0.33,0.365,0.497,0.368,26.5,18.5,4.46
"Acton, Jansen",Sun Belt,Georgia St.,Sr,P,,,13.2,60,23.33,8.33,15,0.208,0.35,0.208,0.276,28.33,11.67,3.53
"Acuna, James",Pac 12,Oregon,So,P,,,26.1,115,15.65,7.83,7.82,0.196,0.296,0.25,0.251,20,28.7,3.61
"Adair, William",Big West,Cal Poly,Fr,P,,,2,10,30,0,30,0.4,0.4,0.4,0.351,10,20,0.15
"Adams, Chase",Western Athletic,UTRGV,Jr,P,,,50.2,226,22.57,8.41,14.16,0.269,0.345,0.447,0.341,19.03,22.12,4.68
"Adams, Cody",Southland,SFA,Jr,P,,,27.1,126,13.49,10.32,3.17,0.302,0.405,0.462,0.379,26.19,19.05,5.43
"Adams, Derrick",OVC,Jacksonville St.,Jr,P,2018,812,56.2,251,13.55,10.76,2.79,0.318,0.39,0.453,0.364,29.48,15.14,5.16
"Adams, Jeremy",Mid-Eastern,Bethune-Cookman,Fr,P,,,12,64,9.38,12.5,-3.12,0.3,0.438,0.4,0.376,20.31,25,5.4
"Adams, Michael",Colonial,Towson,Sr,P,,,51.1,236,24.58,11.02,13.56,0.244,0.339,0.371,0.312,11.02,27.54,3.77
"Adams, Tyler",SEC,Alabama,Sr,P,,,12,46,19.57,10.87,8.7,0.158,0.283,0.211,0.237,36.96,13.04,3.4
"Adcock, Ty",Colonial,Elon,So,C,,,8,43,16.28,18.6,-2.32,0.233,0.419,0.433,0.374,25.58,11.63,7.15
"Adkins, Chase",SEC,Georgia,Sr,P,,,44.1,194,20.62,8.76,11.86,0.256,0.351,0.417,0.337,21.13,22.68,4.8
"Ager, Justin",Ivy League,Yale,So,P,,,3,14,14.29,14.29,0,0.333,0.429,0.333,0.35,21.43,21.43,3.81
"Agnew, Josh",West Coast,Loyola Marymount,So,P,,,40.2,162,13.58,3.09,10.49,0.266,0.296,0.435,0.312,20.99,35.19,3.87
"Agnos, Jake",AAC,East Carolina,So,P,,,47.1,204,29.41,14.22,15.19,0.207,0.338,0.32,0.301,17.65,18.63,3.87
"Aguilera, Juan",Pac 12,Arizona,Sr,P,,,33.1,136,19.12,8.09,11.03,0.23,0.294,0.32,0.272,21.32,28.68,3.06
